"List Country","Date","DateGroup","Sent","Delivered","Opens","Clicks","Unsubscribes","Disabled","Revenue","Complaints","Blocks","Hard Bounces","Soft Bounces","Raw Opens","Raw Clicks","Raw Unsubscribes","Raw Complaints","Raw Disabled"
"ES","2026-03-18","03/18","490940","487903","168063","7201","3394","84","108.93740082718","0","2953","70","14","243892","11791","3532","0","84"
"FR","2026-03-12","03/12","417257","411730","158998","5659","2761","16","514.20140057721","0","5511","11","5","234547","10204","2992","0","16"
"FR","2026-03-13","03/13","416090","410724","155038","5305","2627","40","482.71920011658","0","5326","23","17","227286","9607","2832","0","40"
"FR","2026-03-14","03/14","414170","408994","149057","4767","2436","24","536.69160310924","0","5152","14","10","210963","9359","2716","0","24"
"FR","2026-03-15","03/15","411811","406595","150813","4892","2097","25","495.36419671401","0","5191","19","6","214447","9194","2280","0","25"
"FR","2026-03-16","03/16","409984","404427","164155","6234","2850","22","581.74800290726","0","5535","16","6","245523","10449","3068","0","22"
"FR","2026-03-17","03/17","408194","402609","158670","5746","2620","20","513.39239802398","0","5565","13","7","237392","10352","2805","0","20"
"FR","2026-03-18","03/18","407057","401894","156414","5575","2733","21","98.568300601095","0","5142","16","5","230898","10041","3020","0","21"
"IT","2026-03-12","03/12","334976","330329","158955","5479","1771","24","292.75600239076","0","4623","19","5","222243","8996","1859","0","24"
"IT","2026-03-13","03/13","334986","329997","155949","5364","2359","28","305.13589879684","0","4961","18","10","218248","9037","2430","0","28"
"IT","2026-03-14","03/14","334069","329410","150685","4759","1907","24","278.40540158469","0","4635","14","10","202902","8513","2000","0","24"
"IT","2026-03-15","03/15","332969","328509","152237","4887","2284","19","320.96240166388","0","4441","13","6","205814","8306","2383","0","19"
"IT","2026-03-16","03/16","332385","327621","160952","5940","2468","13","322.76700271294","1","4751","9","4","229070","9362","2558","1","13"
"IT","2026-03-17","03/17","331414","326998","158386","5834","2780","23","331.88770038448","0","4393","13","10","223659","9832","2933","0","23"
"IT","2026-03-18","03/18","330687","325778","158328","5743","2984","21","71.40850000456","0","4888","18","3","222860","9862","3059","0","21"
"CA","2026-03-12","03/12","279387","274612","107310","5442","2414","36","690.11040615477","0","4739","28","8","160003","8967","2592","0","36"
"CA","2026-03-13","03/13","276534","271758","105211","5060","2108","476","641.51190550067","0","4300","469","7","155594","8382","2217","0","476"
"CA","2026-03-14","03/14","274058","270021","101715","4491","1703","131","611.54250577372","0","3906","18","113","146005","8143","1817","0","131"
"CA","2026-03-15","03/15","272692","267992","101877","4682","2145","30","630.83530045627","0","4670","20","10","146906","8065","2248","0","30"
"CA","2026-03-16","03/16","270768","265815","105739","5216","2098","140","633.79750361666","0","4813","131","9","158806","8130","2244","0","140"
"CA","2026-03-17","03/17","268441","263964","105537","5131","2254","204","661.15430220775","0","4273","200","4","157563","8455","2363","0","204"
"CA","2026-03-18","03/18","266834","262268","105118","5125","2144","26","119.68730038218","0","4540","20","6","155716","8360","2252","0","26"
"AU","2026-03-12","03/12","259243","255339","99679","4262","3124","60","422.92519843578","0","3844","14","46","145665","7104","3334","0","60"
"AU","2026-03-13","03/13","259060","255193","93609","3722","2548","149","356.9339999496","1","3718","13","136","132659","6260","2764","1","149"
"AU","2026-03-14","03/14","257075","253442","94500","3971","2657","87","436.76290210523","0","3546","7","80","132758","7143","2905","0","87"
"AU","2026-03-15","03/15","257070","253276","102604","4741","3153","58","475.05110010132","0","3736","10","48","150394","8078","3404","0","58"
"AU","2026-03-16","03/16","256293","252647","101141","4610","2903","335","392.16629775986","0","3311","12","323","149160","7232","3094","0","335"
"AU","2026-03-17","03/17","255657","252225","100441","4491","3057","36","364.51739909314","0","3396","6","30","147800","7425","3298","0","36"
"AU","2026-03-18","03/18","254938","251832","99346","4232","3061","44","78.282799748704","0","3062","6","38","146033","6935","3324","0","44"
"BR","2026-03-18","03/18","213182","209856","53389","5491","1798","51","38.00510006398","0","3275","47","4","81006","8946","1857","0","51"
"BR","2026-03-17","03/17","209881","206585","52852","5227","1567","103","158.24959638156","0","3193","100","3","79664","8301","1616","0","103"
"BR","2026-03-14","03/14","206567","204082","42601","3075","1344","159","150.16930142418","0","2326","90","69","60831","5646","1525","0","159"
"BR","2026-03-16","03/16","207131","203564","54603","5163","1665","72","179.42859670008","0","3495","64","8","82773","8043","1714","0","72"
"BR","2026-03-15","03/15","205660","203421","42155","3320","1098","276","146.37300063344","0","1963","70","206","60180","5679","1145","0","276"
"BR","2026-03-13","03/13","204778","201634","48198","3852","1027","87","135.57589958981","0","3057","85","2","71317","6287","1065","0","87"
"BR","2026-03-12","03/12","203721","200981","51223","4488","1195","60","152.52449981216","0","2680","58","2","76891","7226","1248","0","60"
"NL","2026-03-12","03/12","101414","97056","44129","1398","1027","5","235.22210263368","0","4353","4","1","64664","2351","1101","0","5"
"NL","2026-03-13","03/13","101088","96832","43351","1344","1025","7","220.27389820293","0","4249","5","2","63110","2252","1111","0","7"
"NL","2026-03-14","03/14","100409","96768","41506","1305","1150","4","216.76780156046","0","3637","3","1","58289","2329","1244","0","4"
"NL","2026-03-15","03/15","99070","95896","42753","1321","1181","1","229.67629864253","0","3173","0","1","60829","2401","1287","0","1"
"NL","2026-03-16","03/16","99192","95414","46305","1544","1203","10","279.48020117544","0","3768","5","5","68718","2464","1288","0","10"
"NL","2026-03-17","03/17","99313","94855","44588","1475","1250","4","227.23469839711","0","4454","4","0","65626","2563","1349","0","4"
"NL","2026-03-18","03/18","98580","94782","44141","1506","1202","5","53.816899891943","0","3793","1","4","64770","2808","1287","0","5"
"MX","2026-03-12","03/12","42049","41833","11616","1221","409","3","82.129299845546","0","213","3","0","18237","1994","418","0","3"
"MX","2026-03-13","03/13","41957","41730","11036","1103","275","4","83.36599991098","0","223","4","0","17220","1892","293","0","4"
"MX","2026-03-14","03/14","41835","41621","9751","949","255","2","83.779398979619","0","212","2","0","15074","1756","263","0","2"
"MX","2026-03-15","03/15","41379","41221","10016","861","138","3","72.508798982948","0","155","3","0","15336","1512","143","0","3"
"MX","2026-03-16","03/16","41103","40860","10955","1139","398","4","66.574399644509","0","239","4","0","16900","1803","405","0","4"
"MX","2026-03-18","03/18","40953","40722","11521","1206","304","5","10.175000042655","0","226","5","0","18323","1904","311","0","5"
"MX","2026-03-17","03/17","40842","40559","12553","1367","317","5","78.196501303464","0","278","5","0","19832","2228","322","0","5"
"SG","2026-03-12","03/12","21420","21412","9163","956","345","2","94.045300005935","0","6","2","0","14657","1741","380","0","2"
"SG","2026-03-13","03/13","21171","21169","8680","867","294","1","85.885801350698","0","1","1","0","13782","1518","334","0","1"
"SG","2026-03-14","03/14","21093","21083","8463","862","303","4","106.13889832236","0","6","4","0","13404","1682","325","0","4"
"SG","2026-03-15","03/15","20965","20953","9071","988","370","2","110.92539964523","0","10","1","1","14678","1769","400","0","2"
