"Sending Domain","Date","DateGroup","Sent","Delivered","Opens","Clicks","Unsubscribes","Disabled","Revenue","Complaints","Blocks","Hard Bounces","Soft Bounces","Raw Opens","Raw Clicks","Raw Unsubscribes","Raw Complaints","Raw Disabled"
"rg.expertjobmatch.com","2026-01-05","01/05","1030551","1030524","495531","9650","8072","13","1831.0550173093","1739","14","5","8","683243","14180","11913","1739","13"
"rg.expertjobmatch.com","2026-01-26","01/26","1030541","1030524","485692","8710","8390","9","1472.35590686","875","8","3","6","671403","12750","8789","875","9"
"betterjobsonline.com","2025-11-28","11/28","1030569","1030519","495947","6865","7548","50","1109.9100985657","4665","0","6","44","667738","10649","7943","4665","50"
"rg.expertjobmatch.com","2026-02-03","02/03","1030476","1030457","477828","8459","8087","13","1486.5462166173","0","6","4","9","661085","12719","8372","0","13"
"rg.expertjobmatch.com","2025-12-16","12/16","1030362","1030332","451829","8222","6746","22","1572.7674076483","0","8","5","17","611118","12275","7069","0","22"
"rg.expertjobmatch.com","2025-12-04","12/04","1030285","1030259","460812","8348","7755","12","1587.2464979244","0","14","4","8","623955","12610","8001","0","12"
"betterjobsonline.com","2025-11-21","11/21","1030180","1030112","514273","7780","8096","67","1262.6188007994","4657","1","15","52","697818","12383","8540","4657","67"
"yayjobs.net","2026-01-21","01/21","1030051","1029982","461929","8420","8322","69","1092.4256010754","1","0","4","65","627854","12795","9255","1","69"
"yayjobs.net","2026-02-09","02/09","1029984","1029914","584498","7738","8242","70","971.80620299699","0","0","8","62","804351","11674","8658","0","70"
"betterjobsonline.com","2025-11-22","11/22","1029923","1029855","504049","7037","7584","68","1168.1505014747","4674","0","8","60","670299","11842","8146","4674","68"
"rg.expertjobmatch.com","2025-12-31","12/31","1029862","1029840","441939","6734","6210","12","1189.5320063699","874","10","5","7","576554","10978","6404","874","12"
"rg.expertjobmatch.com","2026-02-05","02/05","1029847","1029834","470434","7859","7732","9","1297.6885158708","885","4","3","6","644487","11785","7968","885","9"
"rg.expertjobmatch.com","2026-01-15","01/15","1029770","1029760","476149","8662","8186","9","1539.7824078416","1758","1","2","7","646522","12480","8591","1758","9"
"rg.expertjobmatch.com","2026-01-25","01/25","1029691","1029666","463675","7229","7363","14","1196.5088097844","0","11","4","10","617980","11529","7621","0","14"
"email1.rg.expertjobmatch.com","2026-01-27","01/27","1029642","1029636","479618","9057","8102","6","1584.9309141696","0","0","4","2","664916","13386","8398","0","6"
"betterjobsonline.com","2025-11-27","11/27","1029693","1029630","490197","6519","6630","63","1043.0918996667","0","0","12","51","648315","10589","6980","0","63"
"rg.expertjobmatch.com","2025-12-06","12/06","1029614","1029576","446453","7126","6235","22","1412.3410950415","0","16","10","12","587205","11689","6437","0","22"
"rg.expertjobmatch.com","2026-01-30","01/30","1029506","1029488","465939","7619","7113","7","1236.8136028256","891","11","0","7","633452","11438","7363","891","7"
"rg.expertjobmatch.com","2026-01-18","01/18","1029491","1029471","466660","7367","7008","9","1266.4511098564","1749","11","2","7","617372","11470","7467","1749","9"
"rg.expertjobmatch.com","2025-12-22","12/22","1029328","1029304","462311","7665","6153","16","1395.8621026613","890","8","2","14","623160","11293","6349","890","16"
"email1.rg.expertjobmatch.com","2026-01-21","01/21","1029274","1029266","483227","9059","7782","8","1598.9382123854","0","0","6","2","663597","13305","8050","0","8"
"rg.expertjobmatch.com","2026-01-24","01/24","1029233","1029215","458645","6575","7192","11","1109.5650027208","1758","7","3","8","603449","10821","7910","1758","11"
