"Sending Domain","Date","DateGroup","Sent","Delivered","Opens","Clicks","Unsubscribes","Disabled","Revenue","Complaints","Blocks","Hard Bounces","Soft Bounces","Raw Opens","Raw Clicks","Raw Unsubscribes","Raw Complaints","Raw Disabled"
"tablemountainjobs.com","2025-11-20","11/20","395357","395354","178953","4211","3748","3","521.75070160767","1461","0","2","1","244472","6784","4097","1461","3"
"winklepickertwins.com","2025-12-16","12/16","395286","395283","149428","3582","2830","3","581.86639948096","0","0","3","0","204249","5465","2987","0","3"
"drabneedle.com","2026-02-06","02/06","395198","395192","175158","2843","3211","6","412.79840029124","1731","0","4","2","235818","4335","3394","1731","6"
"careerisland.net","2025-12-26","12/26","395249","395118","149973","2292","3422","127","408.04539897293","1764","4","3","124","198519","3605","3674","1764","127"
"tablemountainjobs.com","2025-11-15","11/15","394854","394850","173565","3462","2691","4","430.6443025535","1463","0","4","0","231169","5792","2830","1463","4"
"tablemountainjobs.com","2025-11-26","11/26","394728","394725","174812","3717","3222","3","433.48049948085","2205","0","2","1","235590","5831","3572","2205","3"
"tablemountainjobs.com","2025-12-06","12/06","394629","394624","146425","3055","2731","5","479.28140047612","0","0","3","2","193415","5156","2889","0","5"
"jobcanyon.net","2026-02-03","02/03","394278","394274","196973","3668","4260","4","548.14830177464","0","0","4","0","271882","5697","4450","0","4"
"careerisland.net","2025-12-27","12/27","394059","393951","141192","2102","2810","105","360.84750147164","1758","3","1","104","186515","3484","2940","1758","105"
"jobcanyon.net","2026-02-04","02/04","393682","393677","198771","3675","4125","5","583.06260089949","1835","0","3","2","273264","5689","4319","1835","5"
"jobcanyon.net","2026-02-02","02/02","393526","393522","204116","3886","3845","4","591.71370134596","1827","0","3","1","283668","5743","4014","1827","4"
"tablemountainjobs.com","2025-11-12","11/12","393490","393485","186855","4492","3286","5","542.56970007671","0","0","5","0","257812","7089","3449","0","5"
"tablemountainjobs.com","2025-11-09","11/09","393413","393413","176974","3556","2871","0","480.36420302559","1077","0","0","0","237413","5952","3018","1077","0"
"winklepickertwins.com","2025-11-11","11/11","393362","393358","206894","3497","3769","4","627.75070019858","1455","0","2","2","281731","5416","4036","1455","4"
"gabellefree.com","2025-12-14","12/14","393276","393273","103919","2662","2122","3","436.6423002854","1410","0","1","2","142375","4291","2249","1410","3"
"jobcomfortable.com","2025-12-13","12/13","393378","393115","103588","2326","1756","147","310.32870034175","701","116","4","143","145642","3732","1877","701","147"
"winklepickertwins.com","2025-12-17","12/17","392956","392948","140925","3469","2722","8","570.06140091177","1763","0","6","2","190860","5276","2927","1763","8"
"drabneedle.com","2026-02-03","02/03","392824","392821","160844","2676","3614","3","427.18010115251","0","0","2","1","223669","5014","3879","0","3"
"careerisland.net","2025-12-28","12/28","392707","392567","148927","2493","3139","136","438.06919947546","1751","4","0","136","196687","4094","3579","1751","136"
"gabellefree.com","2025-12-16","12/16","392564","392562","121971","3095","2805","2","522.61480105389","0","0","1","1","165551","4836","2949","0","2"
"drabneedle.com","2026-02-02","02/02","392185","392184","186673","3339","4184","1","506.17910124036","2431","0","1","0","255909","4911","4400","2431","1"
"tablemountainjobs.com","2025-12-07","12/07","392172","392164","147991","3196","2656","8","474.06820123177","2171","0","6","2","197216","5140","3035","2171","8"
"tablemountainjobs.com","2025-12-08","12/08","392071","392065","159062","3835","3152","6","577.25259991037","2142","0","4","2","218614","6001","3336","2142","6"
"jobcanyon.net","2026-02-01","02/01","391929","391925","194709","3404","3862","4","545.06650080625","1824","0","2","2","262728","5598","4114","1824","4"
"pizzazzy.net","2025-12-19","12/19","391898","391895","99129","3054","2627","3","437.28399856295","3318","0","1","2","130192","4894","2759","3318","3"
"careerisland.net","2025-12-29","12/29","391787","391658","155347","2769","3801","126","501.16960017849","1772","3","2","124","211579","4211","3986","1772","126"
"jobcanyon.net","2026-02-09","02/09","391479","391475","205747","3452","3966","4","516.2528012339","0","0","1","3","284303","5088","4156","0","4"
"tablemountainjobs.com","2025-11-13","11/13","391401","391399","183445","4322","3537","2","552.11130083911","1104","0","2","0","250806","6837","3693","1104","2"
"jobcanyon.net","2025-12-20","12/20","391253","391251","149156","2683","2598","2","400.69609825127","0","0","2","0","194676","4590","2738","0","2"
"drabneedle.com","2026-02-05","02/05","391179","391177","177842","2819","3378","2","428.34010247793","1751","0","1","1","240837","4252","3628","1751","2"
"drabneedle.com","2026-01-31","01/31","391172","391170","172992","2789","3553","2","403.16860100999","0","0","2","0","229537","4595","3731","0","2"
"winklepickertwins.com","2025-11-10","11/10","391070","391066","212127","3653","3847","4","635.70909934677","1800","0","3","1","292548","5593","4122","1800","4"
"winklepickertwins.com","2025-11-09","11/09","390982","390980","202001","3019","3176","2","523.85140192881","1786","0","2","0","268568","4718","3352","1786","2"
"drabneedle.com","2026-02-04","02/04","390811","390809","177909","3105","3714","2","460.60130166402","1732","0","1","1","241888","4913","3898","1732","2"
"joblittle.net","2026-01-09","01/09","390789","390782","201663","3625","3789","7","468.50869959174","1527","0","4","3","276181","5575","3999","1527","7"
"drabneedle.com","2026-02-07","02/07","390693","390689","169771","2445","2896","4","377.60550058261","1357","0","1","3","224076","4008","3093","1357","4"
"drabneedle.com","2026-02-01","02/01","390549","390544","178140","2952","3469","5","450.35070050135","2079","0","3","2","238001","4772","3746","2079","5"
"drabneedle.com","2026-01-30","01/30","390456","390452","163234","2747","3620","4","380.68030034751","3456","0","3","1","221495","4319","3787","3456","4"
"tablemountainjobs.com","2025-11-10","11/10","390256","390253","190574","4409","3538","3","492.05829962902","1072","0","3","0","264350","6829","3731","1072","3"
"drabneedle.com","2026-01-27","01/27","389999","389994","175166","3322","4725","5","530.02650258318","3084","0","4","1","241535","5039","4953","3084","5"
"jobcanyon.net","2026-01-30","01/30","389860","389855","191657","3467","3875","5","529.92640052736","1801","0","4","1","260630","5435","4043","1801","5"
"drabneedle.com","2026-01-23","01/23","389526","389521","184964","3275","3726","5","490.25980109163","2715","0","5","0","248896","4907","3945","2715","5"
"careerisland.net","2025-12-31","12/31","389551","389423","149635","2265","3057","125","398.54779981636","1732","3","0","125","196567","3822","3220","1732","125"
"winklepickertwins.com","2025-12-19","12/19","389397","389393","167637","2976","2745","4","406.76319789793","1703","0","3","1","222108","4648","2888","1703","4"
"tablemountainjobs.com","2025-12-13","12/13","389251","389249","140080","2680","2383","2","407.35809911974","1421","0","2","0","190563","4498","2520","1421","2"
"drabneedle.com","2026-01-29","01/29","389025","389021","151107","2752","3748","4","394.7761001843","0","0","3","1","211415","4212","3951","0","4"
"jobcanyon.net","2026-01-31","01/31","388980","388976","188570","3127","3783","4","467.63120112382","0","0","4","0","251571","5367","4022","0","4"
"pupicornjobs.com","2025-12-20","12/20","388929","388928","141868","2933","2286","1","392.67469995748","0","0","0","1","186316","5239","2436","0","1"
"jipijapa.net","2025-12-13","12/13","388803","388799","167947","2644","2983","4","411.39070108719","1404","0","4","0","227664","4538","3093","1404","4"
"drabneedle.com","2026-01-28","01/28","388623","388622","180886","3612","4088","1","518.01560226921","3091","0","0","1","247553","5369","4292","3091","1"
"jipijapa.net","2025-12-07","12/07","388513","388511","173963","3140","3283","2","517.19270143798","2118","0","2","0","231246","5141","3461","2118","2"
"jobcomfortable.com","2025-12-14","12/14","388729","388449","108215","2452","1874","157","325.81149961427","1037","123","3","154","155076","3904","1996","1037","157"
"tablemountainjobs.com","2025-11-11","11/11","388396","388393","184183","4479","3600","3","569.41340123583","1086","0","2","1","252799","7219","3839","1086","3"
"jipijapa.net","2025-11-30","11/30","388213","388211","170755","3022","3815","2","447.23010105733","2088","0","0","2","228483","5051","4153","2088","2"
"jipijapa.net","2025-12-06","12/06","388073","388070","173518","2871","3080","3","488.23430170305","1","0","2","1","230409","4916","3304","1","3"
"jobcanyon.net","2026-02-08","02/08","388014","388012","189384","3052","3189","2","467.75640009809","1449","0","2","0","252473","4953","3358","1449","2"
"drabneedle.com","2026-02-09","02/09","387810","387806","186803","2883","3212","4","437.32710208604","0","0","3","1","254673","4267","3374","0","4"
"tablemountainjobs.com","2025-12-10","12/10","387607","387599","151600","3495","3295","8","533.87220187206","1421","0","7","1","206810","5401","3431","1421","8"
"jipijapa.net","2025-12-08","12/08","387513","387509","185009","3467","3538","4","595.34879972506","2430","0","3","1","254400","5292","3678","2430","4"
"gabellefree.com","2025-12-15","12/15","387342","387336","147108","3070","3124","6","510.33280112967","1430","0","5","1","198570","4619","3334","1430","6"
"careerisland.net","2026-01-01","01/01","387314","387194","153027","2409","2972","116","437.17889871262","1377","4","3","113","199976","4023","4172","1377","116"
"jobcanyon.net","2026-02-10","02/10","387143","387142","194860","3502","4029","1","543.41000263207","0","0","1","0","267043","5442","4177","0","1"
"drabneedle.com","2026-01-26","01/26","387051","387041","183283","3442","3903","10","490.04970129021","2407","0","10","0","250837","5036","4127","2407","10"
"tablemountainjobs.com","2025-12-09","12/09","386791","386788","152777","3570","3085","3","545.37109967042","0","0","3","0","210071","5686","3218","0","3"
"jobcanyon.net","2026-01-28","01/28","386442","386435","191938","3717","4403","7","537.13220325857","1789","0","6","1","264219","5768","4598","1789","7"
"jobcanyon.net","2026-01-29","01/29","386438","386434","195462","3712","4009","4","559.5479012588","0","0","2","2","268546","5677","4198","0","4"
"drabneedle.com","2026-01-25","01/25","386362","386352","175035","2981","3754","10","442.64540168829","2388","0","9","1","233294","4799","4074","2388","10"
"jipijapa.net","2025-11-24","11/24","386252","386249","173161","3274","3496","3","509.14449856477","2400","0","3","0","235915","5092","3672","2400","3"
"careerisland.net","2026-01-31","01/31","386342","386231","154665","2806","2922","109","440.36270007212","0","2","3","106","206113","4830","3043","0","109"
"jipijapa.net","2025-11-23","11/23","386194","386190","171199","3078","3072","4","487.52680144925","1756","0","1","3","226947","5156","3348","1756","4"
"jobgrizzly.com","2025-11-28","11/28","386114","386112","185829","2622","3091","2","363.19489965122","1697","0","2","0","247491","4113","3252","1697","2"
"jipijapa.net","2025-11-17","11/17","386077","386075","183700","3603","3456","2","616.41429998912","1027","0","1","1","253235","5714","3658","1027","2"
"jipijapa.net","2025-12-18","12/18","385995","385991","169896","3149","3090","4","508.89970067795","0","0","3","1","230621","4993","3216","0","4"
"gabellefree.com","2025-12-17","12/17","385980","385974","111321","3151","2237","6","535.3098015096","1273","0","6","0","150386","5008","2372","1273","6"
"jipijapa.net","2025-12-15","12/15","385522","385520","179549","3265","3339","2","523.9300018819","1406","0","1","1","252294","4918","3480","1406","2"
"winklepickertwins.com","2025-12-18","12/18","385496","385492","173526","3436","2905","4","544.88170009432","0","0","4","0","231149","5344","3045","0","4"
"jumbucks.net","2025-11-21","11/21","385494","385481","179621","3592","3175","13","440.30050011026","1036","0","6","7","240480","5744","3309","1036","13"
"jipijapa.net","2025-12-17","12/17","385442","385438","174580","3334","3285","4","532.4437016109","1057","0","4","0","237992","5293","3466","1057","4"
"jipijapa.net","2025-12-16","12/16","385438","385437","174763","3321","3430","1","550.1080004517","0","0","1","0","240512","5080","3583","0","1"
"tablemountainjobs.com","2025-12-14","12/14","385093","385090","143657","3008","2570","3","435.21280300897","1740","0","3","0","199200","4818","2773","1740","3"
"jumbucks.net","2025-11-26","11/26","385076","385070","178887","3561","2780","6","440.16869922914","1397","0","1","5","238235","5541","3134","1397","6"
"careerisland.net","2026-01-02","01/02","385157","385029","161019","2722","3484","126","480.59990007244","1709","2","1","125","216109","4067","4143","1709","126"
"tablemountainjobs.com","2025-12-11","12/11","384956","384950","148135","3226","3172","6","496.24799998198","0","0","5","1","201163","5073","3323","0","6"
"jipijapa.net","2025-12-14","12/14","384947","384944","171189","2880","3051","3","462.0040012328","1406","0","1","2","237724","4794","3247","1406","3"
"drabneedle.com","2026-01-24","01/24","384855","384852","171223","2723","3744","3","391.81510101259","2387","0","2","1","226756","4637","3986","2387","3"
"careerisland.net","2026-01-04","01/04","384963","384840","158000","2811","3323","117","524.7135001719","1704","6","3","114","209028","4505","3577","1704","117"
"jumbucks.net","2025-11-27","11/27","384820","384810","168662","3005","2390","10","377.79510036623","0","0","6","4","219254","4926","2624","0","10"
"careerisland.net","2026-01-28","01/28","384806","384696","157850","3052","3398","105","483.67240247875","2390","5","4","101","216168","4575","3557","2390","105"
"jipijapa.net","2025-11-20","11/20","384461","384461","175470","3405","3336","0","570.45510035381","1742","0","0","0","237447","5385","3520","1742","0"
"jobgrizzly.com","2025-11-22","11/22","384304","384302","200635","3020","2922","2","452.58630157821","1354","0","2","0","262362","5113","3094","1354","2"
"drabneedle.com","2025-12-27","12/27","384293","384290","165791","2238","2773","3","352.67350090388","992","0","1","2","217981","3696","2902","992","3"
"jobgrizzly.com","2025-12-08","12/08","383559","383558","109208","3243","2485","1","548.0845993422","1654","0","1","0","149894","5092","2598","1654","1"
"ourjob.net","2025-12-20","12/20","383424","383420","119115","2973","2008","4","430.0080988463","0","0","1","3","157876","5281","2135","0","4"
"jipijapa.net","2025-11-21","11/21","383384","383379","171959","3169","3205","5","528.53930124408","1382","0","4","1","230928","4979","3346","1382","5"
"jobcanyon.net","2026-01-27","01/27","383356","383353","186069","3481","4330","3","539.07890226413","2147","0","3","0","257879","5433","4575","2147","3"
"jobcomfortable.com","2025-12-15","12/15","383584","383327","116618","2958","2043","142","388.7504001325","1019","115","1","141","168314","4467","2127","1019","142"
"jipijapa.net","2025-12-20","12/20","383326","383321","158917","2712","2666","5","381.49699983373","0","0","3","2","210971","4826","2794","0","5"
"jipijapa.net","2025-12-12","12/12","383131","383128","170368","2880","3367","3","491.23100185348","1775","0","1","2","231097","4563","3520","1775","3"
"jobgrizzly.com","2025-11-26","11/26","383014","383010","204410","3070","3286","4","445.78849887755","2039","0","2","2","270090","4716","3437","2039","4"
"drabneedle.com","2026-02-08","02/08","382998","382997","170129","2446","3177","1","371.83940034546","1027","0","1","0","225145","3795","3351","1027","1"
"jobgrizzly.com","2025-12-04","12/04","382960","382959","106124","3298","2700","1","495.66059998376","0","0","1","0","143404","5161","2832","0","1"
"drabneedle.com","2026-01-20","01/20","382877","382871","180187","3385","4167","6","537.82160099875","2359","0","4","2","245694","5080","4458","2359","6"
"jipijapa.net","2025-12-10","12/10","382808","382808","179147","3300","4077","0","568.97839971446","2092","0","0","0","246379","5045","4267","2092","0"
"careerisland.net","2026-01-03","01/03","382856","382740","154327","2488","3140","114","453.04250039905","1719","2","3","111","204435","4139","3416","1719","114"
"jipijapa.net","2025-12-03","12/03","382733","382731","143017","3375","3724","2","574.94859948847","2410","0","2","0","195900","5270","3876","2410","2"
"drabneedle.com","2026-01-21","01/21","382701","382694","180916","3459","4003","7","551.02150126733","0","0","7","0","246517","5249","4227","0","7"
"jipijapa.net","2025-12-11","12/11","382629","382627","176347","3130","3904","2","499.31420067511","0","0","1","1","239454","4882","4059","0","2"
"jipijapa.net","2025-11-26","11/26","382579","382577","172155","2799","3084","2","444.21319973562","2083","0","0","2","228563","4322","3219","2083","2"
"jipijapa.net","2025-12-01","12/01","382442","382437","177127","3366","4019","5","520.66019945405","2432","0","5","0","246075","4973","4212","2432","5"
"drabneedle.com","2026-01-19","01/19","382308","382304","179427","3408","4148","4","519.40280044079","2022","0","4","0","243847","4929","4349","2022","4"
"jipijapa.net","2025-11-29","11/29","382254","382251","167012","2801","3010","3","404.90389907034","0","0","2","1","220697","4685","3185","0","3"
"jobcanyon.net","2026-01-26","01/26","382111","382109","195649","3716","3996","2","557.2267012205","2129","0","2","0","270456","5563","4172","2129","2"
"jobcanyon.net","2026-01-23","01/23","382060","382053","191352","3409","3949","7","500.5925009083","2459","0","7","0","260197","5013","4130","2459","7"
"jipijapa.net","2025-11-28","11/28","382045","382041","166702","2623","3171","4","416.14919947134","2089","0","2","2","222571","4089","3316","2089","4"
"jumbucks.net","2025-11-17","11/17","381890","381884","189797","3743","3470","6","482.36869974015","1015","0","3","3","260262","5856","3718","1015","6"
"careerisland.net","2026-01-05","01/05","381937","381844","166516","3212","3762","91","556.69950073957","2716","2","2","89","227329","4729","3937","2716","91"
"jipijapa.net","2025-11-10","11/10","381836","381830","181653","3583","3314","6","576.99669997115","1020","0","5","1","248619","5323","3460","1020","6"
"pupicornjobs.com","2025-12-27","12/27","381815","381811","140784","3498","2566","4","471.93910118053","1043","0","2","2","186652","5914","2755","1043","4"
"jobgrizzly.com","2025-11-27","11/27","381785","381780","184809","2583","2505","5","338.94899958814","0","0","3","2","240787","4147","2659","0","5"
"jipijapa.net","2025-12-19","12/19","381781","381776","159915","2852","2831","5","393.85199795431","698","0","4","1","215656","4538","2992","698","5"
"jipijapa.net","2025-12-05","12/05","381731","381724","177175","3228","3340","7","525.35459995549","2476","0","5","2","237879","4987","3480","2476","7"
"jipijapa.net","2025-11-14","11/14","381671","381668","172318","3046","2862","3","518.46950013656","0","0","2","1","231964","4709","3122","0","3"
"jipijapa.net","2025-12-02","12/02","381599","381595","178306","3365","4242","4","557.38500108989","2090","0","3","1","243922","5260","4402","2090","4"
"jumbucks.net","2025-11-20","11/20","381559","381550","181629","3862","3498","9","471.24820033531","1049","0","5","4","244923","6229","3682","1049","9"
"careerisland.net","2026-01-29","01/29","381654","381543","159755","3128","3348","110","464.55350156128","0","1","1","109","218024","4625","3539","0","110"
"jipijapa.net","2025-11-27","11/27","381541","381537","161780","2320","2676","4","338.25149943912","0","0","3","1","211147","3551","2804","0","4"
"drabneedle.com","2026-01-01","01/01","381414","381412","170967","2419","2952","2","418.23049939354","1642","0","1","1","224473","4022","4071","1642","2"
"careerisland.net","2026-01-23","01/23","381513","381410","161688","2705","3108","99","436.18000121042","2374","4","4","95","218229","4068","3229","2374","99"
"jobgrizzly.com","2025-11-23","11/23","381372","381370","180950","2912","2931","2","410.47420199448","1659","0","1","1","241000","4780","3072","1659","2"
"jobgrizzly.com","2025-11-29","11/29","381290","381285","188823","2704","3177","5","388.85069922311","0","0","2","3","247984","4661","3363","0","5"
"careerisland.net","2026-01-30","01/30","381272","381178","157643","3160","3065","90","477.70120116509","2077","4","2","88","214324","4798","3237","2077","90"
"jobcanyon.net","2026-01-25","01/25","381177","381171","185615","3187","4005","6","481.28870273568","1767","0","4","2","248067","5276","4170","1767","6"
"careerisland.net","2026-01-26","01/26","381166","381064","163006","3213","3673","98","511.2345011346","2726","4","1","97","224116","4795","4012","2726","98"
"jipijapa.net","2025-12-09","12/09","381016","381011","180276","3330","3445","5","547.35160064884","0","0","3","2","246305","4934","3605","0","5"
"drabneedle.com","2026-01-18","01/18","380960","380952","170816","2939","3616","8","444.31390083395","2356","0","7","1","225895","4588","3817","2356","8"
"jumbucks.net","2025-11-23","11/23","380943","380936","171911","3398","2763","7","455.05850052647","1383","0","5","2","227299","5849","2918","1383","7"
"jumbucks.net","2025-11-24","11/24","380879","380864","177394","3843","3028","15","466.71239813557","1716","0","7","8","241420","5946","3215","1716","15"
"careerisland.net","2026-01-27","01/27","380857","380755","154461","2884","3572","100","479.67770200875","2410","2","3","97","213101","4271","3751","2410","100"
"jobgrizzly.com","2025-12-01","12/01","380747","380746","212713","3426","4176","1","514.07999836677","1691","0","1","0","291041","5152","4361","1691","1"
"careerisland.net","2026-01-10","01/10","380832","380719","150965","2620","2956","107","452.52270022593","1675","6","5","102","197194","4184","3200","1675","107"
"tablemountainjobs.com","2025-12-12","12/12","380702","380700","143172","2880","2769","2","438.46510150237","1797","0","2","0","192921","4426","2873","1797","2"
"careerisland.net","2026-01-08","01/08","380802","380693","159512","2928","3693","105","519.42750237836","1534","4","4","101","214324","4333","3860","1534","105"
"jipijapa.net","2025-11-22","11/22","380598","380595","166872","2759","2957","3","447.55059989356","1054","0","3","0","219729","4704","3086","1054","3"
"careerisland.net","2026-01-06","01/06","380641","380528","161307","2943","3655","111","538.24520067871","2375","2","4","107","218767","4431","3840","2375","111"
"jobgrizzly.com","2025-12-06","12/06","380526","380523","101082","2588","2160","3","405.24809961673","0","0","2","1","132486","4300","2298","0","3"
"jobgrizzly.com","2025-12-03","12/03","380417","380415","146103","3372","3133","2","510.09029920679","2044","0","1","1","198345","5159","3306","2044","2"
"jumbucks.net","2025-11-22","11/22","380293","380289","170290","3275","2606","4","404.81990009407","1036","0","1","3","223954","5586","2866","1036","4"
"careerisland.net","2026-01-25","01/25","380367","380272","154906","2657","3239","92","416.48040191457","2386","3","9","83","206352","4329","4585","2386","92"
"jobgrizzly.com","2025-12-02","12/02","380177","380175","187386","3364","4010","2","524.67039849842","1692","0","2","0","258157","5216","4223","1692","2"
"careerisland.net","2026-02-01","02/01","380251","380155","158136","2890","2920","90","485.18720003124","1694","6","2","88","211992","4831","3099","1694","90"
"careerisland.net","2026-01-07","01/07","380198","380088","159425","2848","3753","109","493.30110194813","0","1","0","109","215445","4321","3904","0","109"
"drabneedle.com","2025-12-31","12/31","380041","380037","168995","2228","2923","4","374.82569983508","1340","0","0","4","220972","3851","3062","1340","4"
"careerisland.net","2026-01-21","01/21","380106","380006","163085","2969","3687","96","499.18780126609","0","4","4","92","220781","4552","4030","0","96"
"drabneedle.com","2026-01-10","01/10","379983","379980","166535","2725","3098","3","447.18480004556","1962","0","2","1","217757","4394","3249","1962","3"
"jumbucks.net","2025-11-30","11/30","379837","379827","169338","3217","2804","10","403.42870129831","1367","0","8","2","225765","5377","3059","1367","10"
"jipijapa.net","2025-11-15","11/15","379820","379813","168881","2894","2674","7","483.07600195706","1028","0","4","3","222606","4998","2811","1028","7"
"drabneedle.com","2026-01-17","01/17","379813","379811","165789","2770","2895","2","430.51320151705","2347","0","2","0","217492","4537","3084","2347","2"
"jumbucks.net","2025-11-19","11/19","379693","379686","184116","3916","3761","7","478.4872000264","1038","0","2","5","249610","6281","3907","1038","7"
"drabneedle.com","2026-01-16","01/16","379556","379553","146016","2351","3235","3","387.64990160102","2672","0","1","2","200083","3551","3399","2672","3"
"jobgrizzly.com","2025-12-07","12/07","379511","379510","102299","2880","2108","1","460.14620207157","1364","0","1","0","134506","4773","2217","1364","1"
"jobcanyon.net","2026-01-24","01/24","379476","379475","185929","2814","3777","1","424.7738019377","1411","0","1","0","246385","4859","3932","1411","1"
"careerisland.net","2026-02-03","02/03","379503","379383","162069","3238","3242","116","518.50680231117","0","4","2","114","222214","5721","3419","0","116"
"jumbucks.net","2025-12-02","12/02","379367","379358","179668","3797","3413","9","545.27540042298","1367","0","4","5","244090","6097","3689","1367","9"
"jobgrizzly.com","2025-11-25","11/25","379268","379267","189797","3213","3584","1","452.49090042245","0","0","0","1","257400","4959","3774","0","1"
"drabneedle.com","2026-01-06","01/06","379219","379212","180068","2982","3982","7","514.98740030825","1647","0","3","4","243276","4385","4120","1647","7"
"jumbucks.net","2025-11-29","11/29","379200","379193","168724","3054","2435","7","422.92080000509","0","0","3","4","222903","5231","2786","0","7"
"jumbucks.net","2025-11-28","11/28","379108","379102","168531","3121","2443","6","416.34599870816","1032","0","1","5","224991","5069","2678","1032","6"
"careerisland.net","2026-01-24","01/24","379191","379093","156289","2419","3543","93","397.46899955813","2381","5","2","91","206593","4107","5612","2381","93"
"drabneedle.com","2026-01-22","01/22","379023","379016","174047","3390","3861","7","529.16959977802","2058","0","5","2","237492","5137","4017","2058","7"
"jipijapa.net","2025-11-19","11/19","378930","378928","178101","3453","3569","2","545.92199905822","1746","0","2","0","242552","5527","3732","1746","2"
"pupicornjobs.com","2025-12-28","12/28","378892","378886","143406","3644","2941","6","482.65310020093","1015","0","6","0","191143","6221","3084","1015","6"
"jobgrizzly.com","2025-12-05","12/05","378801","378800","111114","2875","2563","1","465.94169903919","1692","0","1","0","147720","4535","2700","1692","1"
"pupicornjobs.com","2025-12-23","12/23","378797","378795","145458","3338","2652","2","492.96870026179","1033","0","2","0","194701","5211","2787","1033","2"
"careerisland.net","2026-02-02","02/02","378877","378775","165005","3210","3359","100","521.16609988082","1358","2","4","96","227347","4708","3525","1358","100"
"pupicornjobs.com","2025-12-21","12/21","378767","378762","143536","3047","2510","5","420.71649982641","1036","0","2","3","189181","5045","2652","1036","5"
"careerisland.net","2026-02-04","02/04","378698","378580","159642","3112","3228","113","521.05370155443","1347","5","4","109","218700","4982","3432","1347","113"
"jumbucks.net","2025-11-25","11/25","378496","378478","177177","3729","3107","18","483.40749942465","0","0","6","12","238837","5934","3434","0","18"
"jipijapa.net","2025-12-04","12/04","378358","378354","163481","3346","3807","4","555.53860034887","0","0","2","2","218598","5237","3995","0","4"
"drabneedle.com","2025-12-30","12/30","378327","378322","174369","2517","3484","5","368.10310010519","1335","0","3","2","233069","3745","3649","1335","5"
"pizzazzy.net","2026-02-10","02/10","378251","378249","180777","3753","4004","2","443.23770233383","0","0","2","0","248168","5907","4200","0","2"
"jumbucks.net","2025-11-16","11/16","378089","378084","177615","3127","2846","5","395.97780088848","0","0","2","3","234951","5145","3052","0","5"
"jobcanyon.net","2026-01-20","01/20","377933","377928","193471","3832","4313","5","577.79410258122","1742","0","5","0","267130","5551","4465","1742","5"
"jipijapa.net","2025-11-18","11/18","377740","377738","179372","3629","4021","2","582.10830030497","1032","0","2","0","244310","5572","4222","1032","2"
"jobcomfortable.com","2025-12-16","12/16","377944","377675","112409","2755","1986","144","408.14979975624","0","125","1","143","159136","4218","2093","0","144"
"pupicornjobs.com","2026-01-23","01/23","377532","377521","119120","4110","2875","11","451.59430034645","2353","0","8","3","162145","6508","3055","2353","11"
"jobgrizzly.com","2025-11-30","11/30","377491","377488","182423","2762","3492","3","383.9568002834","1692","0","1","2","244562","4553","3664","1692","3"
"drabneedle.com","2026-01-08","01/08","377472","377465","176857","3008","3412","7","508.44250263553","1191","0","5","2","238089","4535","3556","1191","7"
"tablemountainjobs.com","2025-12-15","12/15","377461","377457","151276","3303","2964","4","482.41439972492","1730","0","3","1","213797","4879","3120","1730","4"
"drabneedle.com","2025-12-28","12/28","377410","377410","167348","2399","2966","0","371.59300007368","985","0","0","0","220695","3806","3112","985","0"
"jobgrizzly.com","2025-11-21","11/21","377368","377364","196505","3247","3241","4","462.25140055595","1364","0","4","0","262645","5242","3408","1364","4"
"jipijapa.net","2025-11-16","11/16","377292","377289","168805","3019","2835","3","503.85940188076","0","0","3","0","224679","5063","3106","0","3"
"pupicornjobs.com","2025-12-22","12/22","377266","377262","151258","3544","2682","4","490.96709919861","1043","0","3","1","205085","5440","2830","1043","4"
"jipijapa.net","2025-11-25","11/25","377226","377219","169820","3067","3376","7","492.11270012427","0","0","6","1","229120","4696","3562","0","7"
"jobcanyon.net","2026-01-21","01/21","377219","377218","190360","3905","4133","1","613.39650221169","0","0","1","0","262265","5968","4317","0","1"
"jumbucks.net","2025-12-01","12/01","377202","377195","179615","3646","3505","7","524.18419941864","1376","0","2","5","248799","5659","3788","1376","7"
"careerisland.net","2026-01-17","01/17","377196","377087","153299","2529","2877","108","420.56890287995","2670","1","2","106","202493","4153","3200","2670","108"
"jumbucks.net","2025-11-12","11/12","376851","376844","187933","3824","3279","7","491.69970014226","0","0","2","5","255618","6136","3548","0","7"
"jobgrizzly.com","2025-11-17","11/17","376845","376842","189316","3357","3459","3","510.95700014709","1653","0","1","2","262457","5143","3607","1653","3"
"jumbucks.net","2025-12-03","12/03","376791","376783","144251","3728","3298","8","578.20509865694","1362","0","3","5","197848","5981","3567","1362","8"
"jobuliet.net","2026-01-11","01/11","376653","376652","149300","3510","2823","1","531.10489954427","1370","0","1","0","197945","5784","3004","1370","1"
"jobuliet.net","2026-01-23","01/23","376651","376649","155220","3506","2903","2","490.79260140937","1665","0","1","1","211006","5417","3034","1665","2"
"jipijapa.net","2025-11-12","11/12","376427","376424","178550","3516","3793","3","575.07919925079","0","0","1","2","243801","5386","4032","0","3"
"jobuliet.net","2026-01-16","01/16","376418","376415","126090","2908","2651","3","417.92060101405","1701","0","3","0","175640","4675","2757","1701","3"
"careerisland.net","2026-02-05","02/05","376491","376354","156804","2921","3004","135","476.05460054055","1317","2","6","129","213277","4576","3121","1317","135"
